Time;Input;Output;glbl_monitor[0]
0.0253335983;-1.34350276;0.4554672241;0.2000000477;0
0.0253544319;-1.645448208;0.4438841343;0.2000000477;0
0.0253752656;-1.835258961;0.4020512104;0.2000000477;0
0.0253960993;-1.899999857;0.3328192234;0.2000000477;0
0.0254169330;-1.835258961;0.2409060001;0.2000000477;0
0.0254377667;-1.645448208;0.1325755119;0.2000000477;0
0.0254586004;-1.34350276;0.01521039009;0.2000000477;0
0.0254794341;-0.9500000477;-0.1031913757;0.2000000477;0
0.0255002677;-0.4917562008;-0.2145609856;0.2000000477;0
0.0255211014;0;-0.3113086224;0.2000000477;0
0.0255419351;0.4917562008;-0.3868410587;0.2000000477;0
0.0255627688;0.9500000477;-0.4360108376;0.2000000477;0
0.0255836025;1.343502998;-0.4554672241;0.2000000477;0
0.0256044362;1.645448208;-0.4438843727;0.2000000477;0
0.0256252699;1.835259199;-0.4020516872;0.2000000477;0
0.0256461035;1.900000095;-0.3328199387;0.2000000477;0
0.0256669372;1.835259199;-0.2409069538;0.2000000477;0
0.0256877709;1.645448208;-0.132576704;0.2000000477;0
0.0257086046;1.343502998;-0.0152118206;0.2000000477;0
0.0257294383;0.9500000477;0.1031897068;0.2000000477;0
0.0257502720;0.4917562008;0.2145590782;0.2000000477;0
0.0257711057;0;0.3113064766;0.2000000477;0
0.0257919393;-0.4917562008;0.3868386745;0.2000000477;0
0.0258127730;-0.9500000477;0.4360084534;0.2000000477;0
0.0258336067;-1.34350276;0.4554648399;0.2000000477;0
0.0258544404;-1.645448208;0.4438819885;0.2000000477;0
0.0258752741;-1.835258961;0.4020493031;0.2000000477;0
0.0258961078;-1.899999857;0.3328175545;0.2000000477;0
0.0259169415;-1.835258961;0.2409045696;0.2000000477;0
0.0259377751;-1.645448208;0.1325743198;0.2000000477;0
0.0259586088;-1.34350276;0.01520943642;0.2000000477;0
0.0259794425;-0.9500000477;-0.103192091;0.2000000477;0
0.0260002762;-0.4917562008;-0.2145614624;0.2000000477;0
0.0260211099;0;-0.3113088608;0.2000000477;0
